City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,Torbay,CA,47.6666,-52.7314,32.76,96,100,13.8,fog
94,Atuona,PF,-9.8,-139.0333,78.19,78,29,16.22,light rain
95,Ludhiana,IN,30.9,75.85,45.14,90,3,3.42,clear sky
96,Mvuma,ZW,-19.2792,30.5283,68.22,72,14,6.93,few clouds
97,Namibe,AO,-15.1961,12.1522,73.71,72,100,8.37,overcast clouds
98,Bielawa,PL,50.6908,16.623,44.44,71,70,14.36,broken clouds
99,Souillac,MU,-20.5167,57.5167,80.37,84,100,15.77,light rain
100,Shubarkuduk,KZ,49.1447,56.4872,27.5,82,100,18.39,overcast clouds
101,Bengkulu,ID,-3.8004,102.2655,73.49,95,100,5.73,overcast clouds
102,Tilichiki,RU,60.4667,166.1,-8.61,85,93,8.37,overcast clouds
103,Kudahuvadhoo,MV,2.6708,72.8944,81.77,74,65,9.82,broken clouds
104,Barranca,PE,-10.75,-77.7667,74.44,71,22,12.03,few clouds
105,Mataura,NZ,-46.1927,168.8643,53.47,98,100,1.36,overcast clouds
106,Vaasa,FI,63.096,21.6158,30.22,93,100,16.11,snow
107,Tuensang,IN,26.2833,94.8333,51.94,95,100,2.24,overcast clouds
108,Namatanai,PG,-3.6667,152.4333,79.97,79,100,6.96,overcast clouds
109,Huazhou,CN,21.6333,110.5833,55.81,76,99,3.09,overcast clouds
110,Idil,TR,37.3411,41.8895,41.41,90,100,3.91,overcast clouds
111,Coihaique,CL,-45.5752,-72.0662,67.08,46,64,0.96,broken clouds
112,Itacoatiara,BR,-3.1431,-58.4442,81.57,71,82,6.46,broken clouds
113,Gazanjyk,TM,39.2446,55.5154,55.08,36,99,7.11,overcast clouds
114,Christchurch,NZ,-43.5333,172.6333,55.99,91,75,4.61,light rain
115,Cidreira,BR,-30.1811,-50.2056,78.39,79,100,9.35,overcast clouds
116,Saint-Pierre,RE,-21.3393,55.4781,80.24,83,100,5.75,overcast clouds
117,Baie-Comeau,CA,49.2168,-68.1489,5.0,71,47,5.77,scattered clouds
118,Korla,CN,41.7597,86.1469,26.56,46,100,4.05,overcast clouds
119,Arawa,PG,-6.2132,155.5367,79.45,89,100,6.02,overcast clouds
120,Arraial Do Cabo,BR,-22.9661,-42.0278,77.52,89,82,14.45,broken clouds
121,Sao Filipe,CV,14.8961,-24.4956,74.03,71,0,8.7,clear sky
122,Liku,ID,-0.7275,119.8922,74.68,94,100,1.7,overcast clouds
123,Paamiut,GL,61.994,-49.6678,9.0,69,100,17.22,overcast clouds
124,San Cristobal,VE,7.7669,-72.225,80.78,52,94,2.33,overcast clouds
125,Saldanha,ZA,-33.0117,17.9442,63.27,74,0,20.54,clear sky
126,Sola,VU,-13.8833,167.55,80.2,83,100,27.09,heavy intensity rain
127,Cape Town,ZA,-33.9258,18.4232,69.35,63,4,5.01,clear sky
128,Ruthin,GB,53.1137,-3.3178,43.14,80,12,1.99,few clouds
129,Georgetown,MY,5.4112,100.3354,79.9,90,20,0.0,few clouds
130,Neiafu,TO,-18.65,-173.9833,81.28,89,75,10.36,light intensity shower rain
131,Birobidzhan,RU,48.8,132.95,-18.13,97,90,2.53,overcast clouds
132,Cherskiy,RU,68.75,161.3,-34.71,99,14,3.15,few clouds
133,Gravdal,NO,68.1214,13.5031,26.49,80,75,14.97,broken clouds
134,Ambon,ID,-3.6954,128.1814,80.92,78,100,6.2,overcast clouds
135,Sagar,IN,23.8333,78.7167,55.54,30,0,2.8,clear sky
136,Norman Wells,CA,65.282,-126.8329,-20.94,90,100,10.38,overcast clouds
137,Lampang,TH,18.3333,99.5,75.6,80,8,1.74,clear sky
138,Ladario,BR,-19.0047,-57.6017,91.49,62,40,4.61,scattered clouds
139,Turukhansk,RU,65.8167,87.9833,10.76,93,100,14.16,overcast clouds
140,Santiago Del Estero,AR,-27.7951,-64.2615,79.92,67,84,17.0,broken clouds
141,Kruisfontein,ZA,-34.0033,24.7314,64.89,62,100,4.83,overcast clouds
142,Tura,IN,25.5198,90.2201,53.33,96,93,5.37,overcast clouds
143,Asau,RO,46.4333,26.4,35.4,83,38,5.91,scattered clouds
144,Vila Velha,BR,-20.3297,-40.2925,80.94,83,100,3.0,overcast clouds
145,Calbuco,CL,-41.768,-73.1273,65.41,69,8,7.65,clear sky
146,Barcelona,ES,41.3888,2.159,56.32,88,40,2.3,scattered clouds
147,Dingle,PH,10.9995,122.6711,73.72,91,100,11.97,overcast clouds
148,Iqaluit,CA,63.7506,-68.5145,-20.25,73,100,9.48,overcast clouds
149,Clyde River,CA,70.4692,-68.5914,-3.77,77,100,16.11,light snow
150,Bambanglipuro,ID,-7.95,110.2833,76.84,88,99,5.12,moderate rain
151,Lata,PT,40.1629,-8.3327,54.05,93,100,2.75,overcast clouds
152,Susangerd,IR,31.5608,48.1831,60.82,55,0,6.4,clear sky
153,Marsh Harbour,BS,26.5412,-77.0636,75.29,59,78,11.01,broken clouds
154,Narsaq,GL,60.9167,-46.05,7.02,62,51,21.63,broken clouds
155,Havelock,US,34.8791,-76.9013,79.05,85,100,15.99,overcast clouds
156,Port Blair,IN,11.6667,92.75,78.04,82,17,3.74,few clouds
157,Davidson,US,36.1501,-86.7833,31.1,81,100,5.01,overcast clouds
158,Avera,US,33.194,-82.5271,66.88,92,100,10.6,overcast clouds
159,Bayshore Gardens,US,27.4253,-82.5904,85.21,69,0,16.11,clear sky
160,Chokurdakh,RU,70.6333,147.9167,-30.95,100,66,1.74,broken clouds
161,Belmonte,BR,-15.8631,-38.8828,82.9,69,100,12.44,overcast clouds
162,Lagoa,PT,39.05,-27.9833,58.12,81,82,18.05,broken clouds
163,Betioky,MG,-23.7167,44.3833,77.79,62,0,11.01,clear sky
164,Mudgee,AU,-32.5943,149.5871,58.62,70,74,11.43,broken clouds
165,Ponta Do Sol,PT,32.6667,-17.1,67.01,82,100,1.19,overcast clouds
166,Safranbolu,TR,41.2508,32.6942,17.04,93,40,1.63,scattered clouds
167,Tinskoy,RU,56.1525,96.9161,9.59,93,100,5.08,overcast clouds
168,Axim,GH,4.8699,-2.2405,80.19,80,2,7.7,clear sky
169,Katherine,AU,-14.4667,132.2667,77.32,94,99,0.0,light rain
170,Saint-Philippe,RE,-21.3585,55.7679,80.15,87,100,27.63,moderate rain
171,Corinto,GR,37.9407,22.9573,49.68,66,4,1.01,clear sky
172,Igurusi,TZ,-8.85,33.85,63.25,95,100,2.48,overcast clouds
173,Byron Bay,AU,-28.65,153.6167,68.88,56,100,20.49,overcast clouds
174,Kilindoni,TZ,-7.9139,39.6668,81.45,79,28,11.14,scattered clouds
175,Radhanpur,IN,23.8333,71.6,64.02,30,0,5.7,clear sky
176,Mahanoro,MG,-19.9,48.8,76.17,92,100,20.78,moderate rain
177,Iquique,CL,-20.2208,-70.1431,73.44,68,3,11.23,clear sky
178,Banda Aceh,ID,5.5577,95.3222,78.26,81,69,7.18,broken clouds
179,Grand Gaube,MU,-20.0064,57.6608,80.38,82,100,11.01,overcast clouds
180,Kununurra,AU,-15.7667,128.7333,78.78,94,100,0.0,overcast clouds
181,Atambua,ID,-9.1061,124.8925,73.85,90,100,0.4,overcast clouds
182,Soe,ID,-9.8607,124.284,66.45,88,99,3.58,overcast clouds
183,Luderitz,NA,-26.6481,15.1594,70.02,69,34,12.64,scattered clouds
184,Kremenki,RU,54.885,37.1261,22.1,100,96,3.38,overcast clouds
185,Beihai,CN,21.4833,109.1,54.43,72,100,11.83,overcast clouds
186,Chihuahua,MX,28.5,-106.0,36.43,32,0,8.19,clear sky
187,Bonthe,SL,7.5264,-12.505,79.93,72,76,10.22,broken clouds
188,Fare,PF,-16.7,-151.0167,80.22,76,97,14.56,overcast clouds
189,Yeppoon,AU,-23.1333,150.7333,71.38,74,97,19.93,overcast clouds
190,Jacareacanga,BR,-6.2222,-57.7528,77.52,93,100,1.57,overcast clouds
191,Champerico,GT,14.3,-91.9167,95.54,56,4,12.73,clear sky
192,Gedo,ET,9.0167,37.45,60.48,36,88,1.41,overcast clouds
193,Tumen,CN,42.9661,129.8425,6.19,70,44,12.41,scattered clouds
194,Naze,JP,28.3667,129.4833,53.58,54,100,16.17,overcast clouds
195,Pevek,RU,69.7008,170.3133,-22.72,100,82,4.23,broken clouds
196,Balad,IQ,34.0164,44.1453,54.77,61,95,0.89,overcast clouds
197,Mokobeng,BW,-22.9965,27.6678,68.97,87,100,6.78,moderate rain
198,Nevsehir,TR,38.9167,34.6667,27.61,86,75,8.05,broken clouds
199,Necochea,AR,-38.5473,-58.7368,70.03,56,100,15.1,light rain
200,Ornskoldsvik,SE,63.2909,18.7153,33.62,100,100,4.61,overcast clouds
201,Kavieng,PG,-2.5744,150.7967,81.77,73,100,6.46,overcast clouds
202,Lons-Le-Saunier,FR,46.75,5.75,43.59,84,100,6.2,overcast clouds
203,Senador Pompeu,BR,-5.5881,-39.3717,90.59,42,100,4.85,overcast clouds
204,Guerrero Negro,MX,27.9769,-114.0611,61.5,22,0,1.39,clear sky
205,Tuktoyaktuk,CA,69.4541,-133.0374,-24.07,99,14,11.63,few clouds
206,Barabinsk,RU,55.3571,78.357,13.66,84,100,11.97,overcast clouds
207,Boo,SE,59.3333,18.2833,38.03,97,75,6.91,moderate rain
208,Tiksi,RU,71.6872,128.8694,-18.81,98,100,6.42,overcast clouds
209,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,86,96,14.94,overcast clouds
210,Marfino,RU,55.7028,37.3822,21.45,93,87,8.95,mist
211,Tanout,NE,14.9709,8.8879,62.44,14,0,12.95,clear sky
212,Saint-Raphael,HT,19.4333,-72.2,76.69,66,66,15.41,broken clouds
213,Roebourne,AU,-20.7833,117.1333,84.42,70,100,5.46,overcast clouds
214,Fort Nelson,CA,58.8053,-122.7002,-8.23,97,100,4.38,light snow
215,Cedar City,US,37.6775,-113.0619,32.4,44,0,4.61,clear sky
216,Saskylakh,RU,71.9167,114.0833,-6.34,99,100,4.72,light snow
217,Ibanesti,RO,46.7667,24.9333,27.82,83,16,4.59,few clouds
218,Sabha,LY,27.0377,14.4283,54.09,33,0,6.82,clear sky
219,Baoro,CF,5.6667,15.9667,73.58,20,97,5.3,overcast clouds
220,Labuan,MY,5.2767,115.2417,80.76,78,100,12.41,overcast clouds
221,Camacha,PT,33.0833,-16.3333,63.54,88,20,3.44,few clouds
222,Mount Gambier,AU,-37.8333,140.7667,54.64,88,99,7.4,overcast clouds
223,Boyolangu,ID,-8.1181,111.8935,76.26,85,100,1.95,overcast clouds
224,Abnub,EG,27.2696,31.1511,53.55,50,6,9.55,clear sky
225,Gewane,ET,10.1664,40.6453,80.4,11,0,8.01,clear sky
226,Pout,SN,14.7739,-17.0603,86.76,12,0,11.5,clear sky
227,Acapulco,MX,16.8634,-99.8901,84.02,65,20,6.91,few clouds
228,Ituiutaba,BR,-18.9689,-49.465,83.16,65,98,3.98,overcast clouds
229,Ritchie,ZA,-29.038,24.6028,77.54,26,0,9.78,clear sky
230,Maningrida,AU,-12.0667,134.2667,76.71,87,100,6.76,overcast clouds
231,Castro,BR,-24.7911,-50.0119,67.01,96,100,6.69,light rain
232,Benemerito De Las Americas,MX,16.5167,-90.6439,86.38,51,34,2.35,scattered clouds
233,Nanortalik,GL,60.1432,-45.2371,11.64,75,100,45.16,light snow
234,Dudinka,RU,69.4058,86.1778,1.62,97,99,5.95,overcast clouds
235,Sungaipenuh,ID,-2.0833,101.3833,64.29,97,100,0.92,overcast clouds
236,Anzio,IT,41.4853,12.6179,55.31,84,100,13.69,overcast clouds
237,Port Lincoln,AU,-34.7333,135.8667,63.59,84,56,14.5,broken clouds
238,Bollnas,SE,61.3482,16.3946,35.38,90,100,9.55,overcast clouds
239,Valparaiso,CL,-33.0393,-71.6273,77.23,57,0,9.22,clear sky
240,Richards Bay,ZA,-28.783,32.0377,73.09,94,100,14.38,moderate rain
241,Mamaku,NZ,-38.1,176.0833,64.42,84,96,2.86,overcast clouds
242,Ratnagiri,IN,16.9833,73.3,69.42,69,11,4.34,few clouds
243,San Jose,US,37.3394,-121.895,62.49,54,20,0.0,few clouds
244,Celestun,MX,20.8667,-90.4,79.09,70,5,10.56,clear sky
245,Dikson,RU,73.5069,80.5464,-3.69,90,100,5.86,overcast clouds
246,Shumikha,RU,55.2261,63.2961,21.24,86,100,13.51,overcast clouds
247,Zhigansk,RU,66.7697,123.3711,-30.23,99,99,4.54,overcast clouds
248,Gizo,SB,-8.103,156.8419,82.35,81,100,10.11,overcast clouds
249,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,14.97,scattered clouds
250,Phan Thiet,VN,10.9333,108.1,72.32,77,100,9.37,overcast clouds
251,Svetlaya,RU,46.5389,138.3297,7.03,71,100,9.46,overcast clouds
252,Belaya Gora,RU,68.5333,146.4167,-39.32,100,60,0.76,broken clouds
253,Tigbao,PH,12.5546,123.3389,75.42,81,100,11.92,overcast clouds
254,Voyvozh,RU,62.892,54.9635,-3.73,100,100,2.33,overcast clouds
255,Mount Isa,AU,-20.7333,139.5,67.77,49,28,6.91,scattered clouds
256,Alofi,NU,-19.0595,-169.9187,79.3,78,100,21.61,overcast clouds
257,Henties Bay,NA,-22.116,14.2845,66.85,82,73,7.74,broken clouds
258,Puerto Escondido,MX,15.85,-97.0667,85.03,74,0,9.22,clear sky
259,Beloha,MG,-25.1667,45.05,74.53,85,38,18.84,scattered clouds
260,Mogadouro,PT,41.3403,-6.7119,44.78,78,100,3.69,overcast clouds
261,Vestmannaeyjar,IS,63.4427,-20.2734,27.81,70,100,6.71,overcast clouds
262,Lompoc,US,34.6391,-120.4579,68.11,43,0,0.0,clear sky
263,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,75,100,10.38,overcast clouds
264,Vardo,NO,70.3705,31.1107,16.0,73,100,26.06,overcast clouds
265,Deputatskiy,RU,69.3,139.9,-29.76,100,86,2.66,overcast clouds
266,Port Hedland,AU,-20.3167,118.5667,86.05,74,100,4.61,overcast clouds
267,Bambous Virieux,MU,-20.3428,57.7575,80.22,86,100,17.45,light rain
268,Karratha,AU,-20.7377,116.8463,83.88,70,98,4.36,overcast clouds
269,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,84,71,18.25,broken clouds
270,Acarau,BR,-2.8856,-40.12,83.26,68,99,15.52,moderate rain
271,Oakdale,US,44.963,-92.9649,9.82,65,100,1.99,haze
272,Teya,RU,60.3778,92.6267,17.17,89,100,10.69,overcast clouds
273,Farmington,US,36.7281,-108.2187,32.86,40,0,6.91,clear sky
274,Ekhabi,RU,53.5102,142.9671,3.74,93,100,20.33,light snow
275,Greenfield,US,42.9614,-88.0126,24.46,56,100,5.99,overcast clouds
