City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Fortuna,US,2022-02-02 22:21:27,40.5982,-124.1573,58.19,72,0,1.99
147,San Patricio,US,2022-02-02 22:21:28,28.017,-97.5169,79.48,70,94,14.38
148,Rio Grande,BR,2022-02-02 22:21:28,-32.035,-52.0986,75.15,80,0,18.43
149,Port Augusta,AU,2022-02-02 22:21:28,-32.5,137.7667,64.71,53,0,14.07
150,Port Hardy,CA,2022-02-02 22:19:14,50.6996,-127.4199,37.58,93,100,14.97
151,Waingapu,ID,2022-02-02 22:21:29,-9.6567,120.2641,78.26,81,19,9.08
152,Aksarka,RU,2022-02-02 22:21:29,66.5606,67.7975,5.7,96,100,5.48
153,Havre-Saint-Pierre,CA,2022-02-02 22:21:29,50.2334,-63.5986,26.6,86,100,13.8
154,Nuevo Ideal,MX,2022-02-02 22:21:30,24.8875,-105.0728,67.21,27,27,22.82
155,San Mateo Ixtatan,GT,2022-02-02 22:21:30,15.8319,-91.4781,71.15,82,56,1.5
156,Balabac,PH,2022-02-02 22:21:30,7.9868,117.0645,80.19,80,85,14.7
157,Sumenep,ID,2022-02-02 22:21:31,-7.0167,113.8667,75.33,89,98,9.91
158,Port Macquarie,AU,2022-02-02 22:21:31,-31.4333,152.9167,68.9,100,75,11.5
159,Tasiilaq,GL,2022-02-02 22:17:57,65.6145,-37.6368,15.96,78,100,4.16
160,Esperance,AU,2022-02-02 22:21:32,-33.8667,121.9,60.71,72,2,12.15
161,Bengkulu,ID,2022-02-02 22:18:05,-3.8004,102.2655,76.28,88,97,4.34
162,Bonnyville,CA,2022-02-02 22:21:32,54.2668,-110.735,-10.57,87,53,10.29
163,Saint-Philippe,RE,2022-02-02 22:21:33,-21.3585,55.7679,80.19,94,100,34.09
164,San Quintin,MX,2022-02-02 22:21:33,30.4833,-115.95,61.68,55,0,11.18
165,Kondol,RU,2022-02-02 22:20:20,52.8189,45.058,29.26,99,100,5.48
166,East London,ZA,2022-02-02 22:21:33,-33.0153,27.9116,74.89,94,59,11.56
167,Wajid,SO,2022-02-02 22:21:34,3.8093,43.2471,80.65,37,86,11.18
168,Cherskiy,RU,2022-02-02 22:19:36,68.75,161.3,-14.87,65,62,0.54
169,Nantucket,US,2022-02-02 22:18:00,41.2835,-70.0995,44.15,94,100,9.91
170,Long Beach,US,2022-02-02 22:21:20,33.767,-118.1892,68.63,22,0,3.0
171,Samana,DO,2022-02-02 22:21:34,19.2056,-69.3369,78.76,88,10,7.29
172,Srandakan,ID,2022-02-02 22:21:35,-7.9386,110.2506,60.73,85,100,4.83
173,Bodden Town,KY,2022-02-02 22:21:35,19.2833,-81.25,82.0,73,20,7.0
174,Cabo San Lucas,MX,2022-02-02 22:19:37,22.8909,-109.9124,76.6,56,20,5.01
175,Tomatlan,MX,2022-02-02 22:21:35,19.9333,-105.25,82.85,35,0,10.45
176,Tigzirt,DZ,2022-02-02 22:21:36,36.8886,4.1198,53.92,57,0,7.9
177,Mawlamyine,MM,2022-02-02 22:21:36,16.4914,97.6256,64.92,60,7,4.12
178,Batagay,RU,2022-02-02 22:21:36,67.6333,134.6333,-33.52,99,76,3.36
179,Severomuysk,RU,2022-02-02 22:21:37,56.1481,113.4267,-26.25,98,54,4.79
180,Cascais,PT,2022-02-02 22:21:37,38.6979,-9.4215,56.52,69,97,1.01
181,Andrews,US,2022-02-02 22:21:37,32.3187,-102.5457,31.28,87,100,13.8
182,Odweyne,SO,2022-02-02 22:21:38,9.4092,45.064,67.46,46,66,13.67
183,Praia Da Vitoria,PT,2022-02-02 22:21:38,38.7333,-27.0667,57.76,88,40,9.01
184,Muravlenko,RU,2022-02-02 22:22:38,63.7898,74.523,11.82,95,100,11.72
185,Mount Gambier,AU,2022-02-02 22:21:56,-37.8333,140.7667,58.59,63,100,9.33
186,Beloha,MG,2022-02-02 22:22:39,-25.1667,45.05,73.24,73,0,16.44
187,Airai,TL,2022-02-02 22:22:17,-8.9266,125.4092,60.66,89,100,2.35
188,Shenjiamen,CN,2022-02-02 22:22:39,29.9576,122.298,44.69,77,100,18.97
189,Sitka,US,2022-02-02 22:22:39,57.0531,-135.33,39.09,87,100,5.75
190,Pevek,RU,2022-02-02 22:22:40,69.7008,170.3133,-8.43,76,30,4.92
191,Saldanha,ZA,2022-02-02 22:22:40,-33.0117,17.9442,66.25,86,79,6.91
192,Trenggalek,ID,2022-02-02 22:22:40,-8.05,111.7167,74.84,90,88,1.52
193,Torbay,CA,2022-02-02 22:21:47,47.6666,-52.7314,24.76,85,20,8.05
194,Taksimo,RU,2022-02-02 22:22:41,56.3444,114.8794,-21.55,92,18,2.75
195,Naze,JP,2022-02-02 22:22:41,28.3667,129.4833,56.32,90,100,23.0
196,Punta Alta,AR,2022-02-02 22:22:42,-38.8759,-62.0736,83.95,41,99,3.33
197,Codrington,AU,2022-02-02 22:22:42,-38.2667,141.9667,59.04,65,86,13.62
198,Coihaique,CL,2022-02-02 22:22:42,-45.5752,-72.0662,67.95,52,40,6.91
199,Ginda,IN,2022-02-02 22:22:42,30.6945,78.4932,41.05,80,100,5.5
200,Ofunato,JP,2022-02-02 22:22:43,39.0717,141.7167,30.22,70,13,10.4
201,Gat,IL,2022-02-02 22:22:43,31.61,34.7642,59.4,55,98,4.45
202,Guerrero Negro,MX,2022-02-02 22:21:46,27.9769,-114.0611,64.27,49,3,13.02
203,Karamadai,IN,2022-02-02 22:19:04,11.2406,76.9601,73.78,71,4,1.9
204,Nieuwpoort,BE,2022-02-02 22:22:44,51.1244,2.7735,48.54,93,75,10.36
205,Tautira,PF,2022-02-02 22:22:44,-17.7333,-149.15,87.82,77,16,17.43
206,Tadine,NC,2022-02-02 22:22:44,-21.55,167.8833,81.07,78,96,9.42
207,Danane,CI,2022-02-02 22:22:45,7.2596,-8.155,69.91,25,34,1.79
208,Laguna,US,2022-02-02 22:22:45,38.421,-121.4238,62.47,28,0,8.99
209,Mattawa,US,2022-02-02 22:22:45,46.7379,-119.9028,40.01,54,99,4.41
210,Mafinga,TZ,2022-02-02 22:22:46,-7.25,35.0667,66.27,96,100,4.52
211,Pisco,PE,2022-02-02 22:21:14,-13.7,-76.2167,77.05,57,0,20.71
212,Nikolskoye,RU,2022-02-02 22:19:38,59.7035,30.7861,22.89,98,99,1.1
213,Krasnyy Chikoy,RU,2022-02-02 22:22:46,50.3643,108.7512,-9.17,100,100,1.92
214,Lompoc,US,2022-02-02 22:21:16,34.6391,-120.4579,65.79,20,0,14.97
215,Ostrovnoy,RU,2022-02-02 22:21:09,68.0531,39.5131,20.82,91,100,15.01
216,Kodinsk,RU,2022-02-02 22:22:47,58.6881,99.1844,-4.29,100,100,2.89
217,Lorengau,PG,2022-02-02 22:20:59,-2.0226,147.2712,79.75,80,100,11.45
218,Machali,CL,2022-02-02 22:22:47,-34.1833,-70.6667,81.68,36,0,10.6
219,Baruun-Urt,MN,2022-02-02 22:22:47,46.6806,113.2792,-11.6,94,68,3.47
220,Wewak,PG,2022-02-02 22:22:48,-3.5534,143.6268,77.92,85,100,5.28
221,Gushikawa,JP,2022-02-02 22:22:48,26.3544,127.8686,67.62,95,100,12.66
222,Kamennomostskiy,RU,2022-02-02 22:22:48,44.2983,40.1856,36.88,87,100,5.75
223,Belmonte,BR,2022-02-02 22:19:34,-15.8631,-38.8828,81.1,80,100,7.34
224,Monrovia,LR,2022-02-02 22:20:00,6.3005,-10.7969,76.77,82,11,8.01
225,Pochutla,MX,2022-02-02 22:22:49,15.7432,-96.4661,85.82,47,0,9.6
226,Verkhnevilyuysk,RU,2022-02-02 22:22:49,63.4453,120.3167,-20.94,98,100,4.65
227,Taki,IN,2022-02-02 22:22:50,22.5861,88.9214,66.15,75,0,2.75
228,Senai,MY,2022-02-02 22:22:50,1.5937,103.6482,78.82,94,54,4.34
229,Pak Phanang,TH,2022-02-02 22:22:50,8.3511,100.202,78.08,83,55,7.45
230,Norman Wells,CA,2022-02-02 22:22:51,65.282,-126.8329,-21.96,69,75,13.8
231,Dzilam Gonzalez,MX,2022-02-02 22:23:51,21.2833,-88.9333,87.13,47,0,8.52
232,Kaitangata,NZ,2022-02-02 22:23:51,-46.2817,169.8464,54.36,95,100,4.99
233,Cabedelo,BR,2022-02-02 22:23:52,-6.9811,-34.8339,81.27,72,48,13.2
234,Kitimat,CA,2022-02-02 22:19:37,54.0524,-128.6534,19.78,98,100,2.35
235,Saint George,US,2022-02-02 22:23:52,37.1041,-113.5841,43.63,18,0,8.99
236,Khatanga,RU,2022-02-02 22:21:39,71.9667,102.5,-36.9,98,47,1.25
237,Eureka,US,2022-02-02 22:23:52,40.8021,-124.1637,57.74,74,56,10.0
238,Hirado,JP,2022-02-02 22:23:53,33.3597,129.5531,42.39,55,100,13.42
239,Aklavik,CA,2022-02-02 22:23:53,68.2191,-135.0107,-22.0,76,75,2.3
240,Ariquemes,BR,2022-02-02 22:23:53,-9.9133,-63.0408,76.28,94,99,1.95
241,Alofi,NU,2022-02-02 22:23:54,-19.0595,-169.9187,78.69,78,75,9.22
242,Bilibino,RU,2022-02-02 22:23:54,68.0546,166.4372,-7.58,63,61,5.14
243,Atar,MR,2022-02-02 22:23:54,20.5169,-13.0499,75.31,19,0,9.1
244,Broome,US,2022-02-02 22:23:55,42.2506,-75.833,41.45,69,75,1.01
245,Beidao,CN,2022-02-02 22:23:55,34.5686,105.8933,20.64,92,70,1.43
246,Newnan,US,2022-02-02 22:23:55,33.3807,-84.7997,65.59,68,75,1.01
247,Mitsamiouli,KM,2022-02-02 22:23:56,-11.3847,43.2844,81.14,75,80,1.5
248,Voznesenye,RU,2022-02-02 22:23:56,61.0106,35.4781,6.85,98,100,4.27
249,George Town,MY,2022-02-02 22:21:25,5.4112,100.3354,80.53,89,20,3.44
250,Luzhou,CN,2022-02-02 22:23:56,28.8724,105.4405,39.65,91,35,1.12
251,Udachnyy,RU,2022-02-02 22:23:57,66.4167,112.4,-32.73,100,45,3.15
252,Sao Jose Da Coroa Grande,BR,2022-02-02 22:22:23,-8.8978,-35.1478,80.44,76,27,10.78
253,Vestmannaeyjar,IS,2022-02-02 22:23:57,63.4427,-20.2734,31.32,72,100,10.22
254,Sawakin,SD,2022-02-02 22:23:57,19.1059,37.3321,70.99,71,7,4.79
255,Ajdabiya,LY,2022-02-02 22:23:58,30.7554,20.2263,53.53,67,35,18.9
256,Nago,JP,2022-02-02 22:23:58,26.5881,127.9761,68.45,88,68,8.25
257,Micheweni,TZ,2022-02-02 22:23:58,-4.9667,39.8333,80.13,81,100,9.55
258,Kirakira,SB,2022-02-02 22:23:59,-10.4544,161.9205,82.31,80,100,7.63
259,Roald,NO,2022-02-02 22:20:19,62.5833,6.1333,35.74,75,20,9.22
