City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
683,Porto Seguro,BR,82.92,scattered clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
684,Le Port,RE,80.6,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
689,Carutapera,BR,80.87,overcast clouds,-1.195,-46.02,Lidera
691,Esperantinopolis,BR,85.24,heavy intensity rain,-4.8667,-44.7083,
692,Paracuru,BR,84.22,light rain,-3.41,-39.0306,Hotel Vento Brasil
695,Wewak,PG,78.13,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
696,Ranong,TH,75.94,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
698,Sorong,ID,80.69,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
700,Cayenne,GF,82.44,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
701,Bandarbeyla,SO,75.38,clear sky,9.4942,50.8122,JABIR HOTEL
702,Lavumisa,SZ,76.32,light rain,-27.31,31.892,ROADSIDE B&B
